,Bedrooms,property_type,location,price,Living area,Kitchen type,Furnished,How many fireplaces?,Garden surface,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
293,3,House,9600,"€199,900",162,Hyper equipped,No,0,0,20,94,2,0,Just renovated
294,1,Apartment,1082,Make,70,Hyper equipped,No,0,0,10,0,2,No,As new
295,1,Apartment,1180,"€200,000",59,Installed,No,0,0,0,0,2,No,Good
296,1,Apartment,1400,"€205,000",65,Installed,No,0,0,5,0,2,0,Good
297,2,Penthouse,8930,"€209,000",90,Installed,No,0,0,110,0,3,0,As new
298,2,Apartment,1120,"€210,000",77,Installed,No,0,0,0,0,3,No,Good
299,2,Apartment,1140,"€210,000",85,USA hyper equipped,No,0,0,7,0,0,No,To be done up
300,1,Apartment,1190,"€210,000",62,USA hyper equipped,No,0,1000,0,0,2,No,Good
301,2,Apartment,2100,"€210,000",73,Installed,No,0,0,0,0,2,0,Good
302,2,Apartment,9600,"€210,000",96,Installed,No,0,0,4,0,2,No,As new
303,2,Apartment,4000,"€212,500",95,Installed,No,0,0,4,0,3,0,Just renovated
304,2,Apartment,1090,"€215,000",91,Semi equipped,No,0,0,2,0,0,No,Good
305,3,House,4540,"€215,000",120,USA hyper equipped,No,0,240,0,506,3,0,Good
306,5,Mixed-use building,4920,"€215,000",208,Semi equipped,No,0,0,117,209,3,0,To renovate
307,5,House,4920,"€215,000",208,Semi equipped,No,0,0,117,209,3,0,To renovate
308,2,Apartment,1800,"€219,000",90,USA installed,No,0,0,5,0,2,0,Just renovated
309,2,Apartment,3001,"€219,000",70,Semi equipped,No,0,0,4,0,0,0,To be done up
310,2,Town-house,4020,"€219,000",91,Installed,No,0,408,32,587,3,0,Good
311,1,Apartment,1030,"€220,000",75,Hyper equipped,Yes,0,0,0,0,2,0,As new
312,2,Apartment,6700,"€220,000",70,Installed,No,0,0,0,0,3,No,Good
313,2,Apartment,1853,"€221,000",80,Installed,0,0,0,0,0,4,0,Good
314,2,Apartment,8370,"€223,000",68,Installed,Yes,0,0,2,0,2,No,As new
315,1,Apartment,1140,"€224,000",64,Semi equipped,No,0,0,10,0,0,No,Good
316,2,Apartment,1080,"€225,000",92,Installed,No,0,0,0,0,2,0,Just renovated
317,2,Apartment,1140,"€225,000",58,Hyper equipped,No,0,0,0,0,2,No,Just renovated
318,1,Apartment,1831,"€225,000",86,Installed,No,0,0,7,0,0,0,As new
319,2,Apartment,1930,"€225,000",89,Installed,No,0,0,8,0,2,No,Good
320,1,Apartment,1040,"€229,000",52,USA installed,Yes,0,0,4,0,2,No,As new
321,3,House,4540,"€229,500",120,Installed,No,0,150,25,339,4,0,Good
322,2,Apartment,1160,"€230,000",78,Semi equipped,No,0,0,15,0,0,No,To renovate
323,2,Apartment,1200,"€230,000",84,Not installed,No,0,0,18,0,4,0,To renovate
324,1,Apartment,1180,"€235,000",60,Hyper equipped,No,0,0,3,0,3,No,Just renovated
325,3,Bungalow,4530,Make,140,Semi equipped,0,0,1300,0,1423,4,0,To renovate
